253.152, 244.183
173.597, 252.566
87.6804, 261.934
103.476, 212.152
114.275, 176.998
122.881, 149.752
177.655, 146.024
229.36, 142.357
280.545, 139.031
308.538, 193.841
293.174, 162.987
329.761, 236.559
-0.015956, 0.115641, 1.155
-0.26281, 0.137858, 1.13
-0.511244, 0.160243, 1.093
-0.544829, 0.0162136, 1.285
-0.589292, -0.128394, 1.496
-0.635437, -0.272693, 1.708
-0.377892, -0.286201, 1.705
-0.137754, -0.310036, 1.734
0.10569, -0.32931, 1.761
0.189578, -0.0546013, 1.388
0.148796, -0.193236, 1.557
0.229705, 0.092643, 1.184
