408.391, 313.147
313.031, 285.922
226.386, 261.751
293.68, 211.985
343.795, 174.583
384.944, 144.259
450.434, 155.873
519.583, 168.121
597.342, 182.175
553.216, 273.812
578.021, 222.499
518.785, 345.408
-0.118762, 0.206352, 1.202
-0.337266, 0.157844, 1.279
-0.562335, 0.111252, 1.356
-0.456566, -0.00633184, 1.53
-0.361031, -0.11586, 1.706
-0.26533, -0.225968, 1.889
-0.0467318, -0.181596, 1.804
0.161061, -0.134286, 1.716
0.376876, -0.0889804, 1.644
0.198581, 0.133444, 1.299
0.288313, 0.0217731, 1.469
0.10373, 0.255411, 1.126
