810.669, 727.001
558.348, 726.749
300.256, 726.804
412.901, 567.612
490.22, 457.149
550.209, 372.72
712.366, 372.959
868.703, 373.374
1029.41, 374.216
1050.08, 569.579
1038.48, 459.017
1066.53, 729.204
-0.114516, 0.284849, 1.101
-0.356593, 0.284931, 1.105
-0.605648, 0.285705, 1.108
-0.585588, 0.157437, 1.303
-0.571439, 0.0389601, 1.497
-0.56832, -0.081424, 1.724
-0.31989, -0.0799127, 1.692
-0.0901215, -0.0778517, 1.679
0.1437, -0.0759951, 1.67
0.133991, 0.157477, 1.285
0.138348, 0.0409021, 1.474
0.129502, 0.285444, 1.096
