258.415, 159.919
311.492, 161.88
366.702, 163.785
378.496, 193.01
393.839, 230.725
415.734, 284.761
326.927, 279.366
243.153, 274.679
159.369, 269.891
193.846, 185.199
179.486, 220.182
205.119, 157.741
-0.000239322, -0.22268, 1.683
0.241939, -0.211954, 1.671
0.488531, -0.200873, 1.655
0.474615, -0.0569223, 1.447
0.460533, 0.0771747, 1.248
0.453639, 0.221444, 1.057
0.198811, 0.209538, 1.07
-0.0447408, 0.198005, 1.087
-0.299299, 0.186176, 1.105
-0.266828, -0.0918213, 1.5
-0.278857, 0.0444968, 1.29
-0.246621, -0.234227, 1.7
