480.17, 313.76
365.962, 324.814
242.24, 337.549
265.19, 266.428
280.919, 216.156
293.47, 177.085
373.006, 172.265
447.237, 167.54
520.842, 163.175
560.387, 242.216
538.541, 197.884
590.598, 303.629
0.0317137, 0.208069, 1.212
-0.206566, 0.227045, 1.191
-0.448839, 0.247128, 1.16
-0.471585, 0.12321, 1.359
-0.499434, 0.00697056, 1.556
-0.527587, -0.110929, 1.768
-0.283207, -0.126665, 1.775
-0.0559076, -0.143722, 1.797
0.173026, -0.157241, 1.81
0.235157, 0.070245, 1.425
0.205095, -0.0457119, 1.617
0.267242, 0.190112, 1.231
