482.706, 430.993
628.946, 370.001
750.47, 318.666
855.831, 360.437
975.753, 407.92
1120.68, 466.833
1006.86, 553.189
865.785, 660.998
670.81, 809.272
397.063, 587.819
516.263, 684.235
298.121, 507.704
-0.603598, 0.00428029, 1.553
-0.444807, -0.0831228, 1.698
-0.287035, -0.17244, 1.839
-0.110883, -0.0982748, 1.707
0.0618326, -0.0269299, 1.578
0.239777, 0.049085, 1.453
0.0865085, 0.142368, 1.309
-0.0653402, 0.233333, 1.161
-0.227088, 0.331694, 1.007
-0.586827, 0.175202, 1.269
-0.409441, 0.252692, 1.14
-0.767141, 0.0966942, 1.399
