664.132, 680.539
532.827, 575.613
424.604, 490.756
601.336, 411.695
740.505, 349.032
859.196, 296.264
972.064, 342.42
1101.26, 394.865
1259.64, 459.887
1017.85, 663.356
1152.27, 550.293
834.363, 819.001
-0.260249, 0.246144, 1.128
-0.432627, 0.160034, 1.253
-0.609772, 0.0756528, 1.389
-0.436364, -0.0208227, 1.529
-0.274656, -0.111775, 1.667
-0.110983, -0.203475, 1.805
0.0607238, -0.12132, 1.66
0.228593, -0.0435069, 1.539
0.4022, 0.0390707, 1.408
0.08592, 0.231246, 1.136
0.243305, 0.133993, 1.262
-0.0824339, 0.334964, 0.991
