298.881, 165.739
302.73, 199.728
308.494, 247.002
226.536, 244.438
147.906, 242.493
68.0979, 240.378
99.3796, 194.682
121.514, 161.837
139.411, 136.654
242.892, 138.016
191.241, 137.293
296.027, 139.176
0.164731, -0.174784, 1.508
0.157671, -0.0300856, 1.312
0.15352, 0.121758, 1.124
-0.101056, 0.115441, 1.153
-0.346794, 0.108094, 1.142
-0.599213, 0.102829, 1.153
-0.58411, -0.0491586, 1.343
-0.576396, -0.195084, 1.538
-0.56027, -0.335948, 1.721
-0.0733475, -0.317049, 1.671
-0.312069, -0.327585, 1.702
0.175577, -0.316407, 1.692
