450.369, 186.095
526.044, 183.448
600.738, 180.556
625.368, 218.931
657.014, 267.667
701.249, 335.977
585.031, 342.551
468.84, 349.514
344.534, 357.171
365.04, 229.65
356.412, 282.422
371.898, 188.719
-0.0448148, -0.0817074, 1.73
0.184455, -0.0911772, 1.74
0.412398, -0.101268, 1.759
0.433157, 0.0123583, 1.559
0.458071, 0.126938, 1.374
0.480644, 0.245854, 1.173
0.241969, 0.257347, 1.161
0.00614408, 0.269018, 1.151
-0.239063, 0.281919, 1.139
-0.264321, 0.0409762, 1.524
-0.252206, 0.157733, 1.334
-0.280892, -0.0754371, 1.723
