248.897, 271.929
269.152, 220.025
284.23, 179.924
364.781, 175.698
440.639, 171.281
516.055, 167.423
531.42, 203.813
551.105, 249.815
578.089, 313.927
347.188, 333.671
464.189, 323.465
219.752, 345.095
-0.506037, 0.133433, 1.344
-0.523021, 0.0174938, 1.538
-0.551751, -0.104182, 1.757
-0.306906, -0.115965, 1.752
-0.0764431, -0.12914, 1.767
0.15842, -0.142923, 1.787
0.181435, -0.0283616, 1.582
0.209012, 0.085843, 1.399
0.236303, 0.206695, 1.204
-0.239477, 0.241192, 1.17
-0.00190485, 0.224237, 1.187
-0.487037, 0.258814, 1.141
