468.561, 171.59
534.625, 194.206
613.29, 221.04
568.409, 265.114
512.744, 320.9
435.516, 398.194
340.735, 338.931
266.498, 293.194
204.047, 254.525
354.749, 179.443
288.643, 212.189
410.396, 151.907
0.00910135, -0.124609, 1.705
0.189073, -0.0527357, 1.577
0.377297, 0.0192279, 1.468
0.235801, 0.117221, 1.318
0.0960078, 0.215894, 1.175
-0.0526152, 0.322321, 1.013
-0.248272, 0.245906, 1.145
-0.431246, 0.171364, 1.249
-0.625889, 0.0967103, 1.382
-0.319217, -0.0983116, 1.658
-0.469537, -0.00369224, 1.529
-0.174554, -0.196938, 1.831
